online_order,book_table,rate,votes,rest_type,cuisines,cost,type,city
Yes,No,3.5,33,Quick Bites,"North Indian, Chinese",600,Delivery,Koramangala 6th Block
Yes,No,3.8,110,"Takeaway, Delivery","Italian, Pizza",400,Delivery,Koramangala 6th Block
Yes,No,3.6,43,Quick Bites,"North Indian, South Indian, Mangalorean",250,Delivery,Koramangala 6th Block
Yes,No,3.6,22,Casual Dining,Andhra,600,Delivery,Koramangala 6th Block
Yes,No,4.2,9,Quick Bites,"Street Food, Fast Food",250,Delivery,Koramangala 6th Block
No,No,3.5,8,Quick Bites,"North Indian, Fast Food",250,Delivery,Koramangala 6th Block
No,No,3.6,54,Quick Bites,"North Indian, Chinese, South Indian, Fast Food",400,Delivery,Koramangala 6th Block
No,No,3.4,7,Delivery,"Kebab, Rolls",300,Delivery,Koramangala 6th Block
No,No,3.3,4,Delivery,"Salad, Sandwich",400,Delivery,Koramangala 6th Block
No,No,3.7,125,Delivery,"Chinese, Biryani, Pizza, Italian, North Indian",500,Delivery,Koramangala 6th Block
No,No,3.8,14,Quick Bites,"Chinese, Kerala, North Indian, South Indian",350,Delivery,Koramangala 6th Block
No,No,3.8,65,Quick Bites,Continental,550,Delivery,Koramangala 6th Block
No,No,3.4,5,Bakery,"Bakery, Desserts",300,Delivery,Koramangala 6th Block
No,No,4.0,40,Dessert Parlor,"Desserts, Fast Food",300,Delivery,Koramangala 6th Block
No,No,3.1,14,Quick Bites,"Juices, Sandwich",200,Delivery,Koramangala 6th Block
No,No,3.5,9,Delivery,"Biryani, North Indian, Kebab",400,Delivery,Koramangala 6th Block
No,No,4.0,157,Dessert Parlor,Desserts,300,Delivery,Koramangala 6th Block
No,No,3.1,41,Quick Bites,"North Indian, Chinese, Rolls",250,Delivery,Koramangala 6th Block
No,No,3.0,34,Quick Bites,"Chinese, North Indian",500,Delivery,Koramangala 6th Block
Yes,No,3.8,38,Casual Dining,North Indian,500,Delivery,Koramangala 6th Block
Yes,Yes,3.7,1015,Bar,"Continental, Chinese",1300,Delivery,Koramangala 6th Block
Yes,No,2.6,33,Casual Dining,"North Indian, Fast Food, Chinese, Beverages",500,Delivery,Koramangala 6th Block
Yes,No,3.8,24,Cafe,"Cafe, Lebanese",700,Delivery,Koramangala 6th Block
No,No,3.6,54,"Beverage Shop, Quick Bites","Tea, Beverages, Fast Food",250,Delivery,Koramangala 6th Block
No,No,3.2,5,Delivery,"North Indian, Mughlai",400,Delivery,Koramangala 6th Block
No,No,3.5,7,"Food Court, Quick Bites",Fast Food,300,Delivery,Koramangala 6th Block
No,No,2.7,61,Quick Bites,"Arabian, Biryani, North Indian, Chinese, Fast Food",500,Delivery,Koramangala 6th Block
Yes,No,3.3,7,Delivery,"North Indian, Healthy Food",200,Delivery,Koramangala 6th Block
Yes,No,2.9,36,"Takeaway, Delivery","Andhra, Chinese, Biryani",400,Delivery,Koramangala 6th Block
Yes,No,3.8,18,Food Truck,Chinese,200,Delivery,Koramangala 6th Block
No,No,3.5,11,"Takeaway, Delivery","Desserts, Bakery",300,Delivery,Koramangala 6th Block
No,No,2.9,12,Cafe,"Cafe, North Indian, Chinese, Continental",500,Delivery,Koramangala 6th Block
Yes,No,3.4,10,Quick Bites,"Fast Food, Sandwich, Burger",300,Delivery,Koramangala 6th Block
No,No,3.8,47,Cafe,"Cafe, Italian",600,Delivery,Koramangala 6th Block
Yes,No,3.4,10,Cafe,Cafe,650,Delivery,Koramangala 6th Block
Yes,No,3.8,22,Cafe,"Cafe, Bakery",500,Delivery,Koramangala 6th Block
Yes,No,3.5,6,Quick Bites,"Chinese, North Indian",200,Delivery,Koramangala 6th Block
Yes,No,3.3,4,Beverage Shop,Juices,200,Delivery,Koramangala 6th Block
Yes,No,3.7,32,"Pub, Casual Dining","Finger Food, Continental, Chinese",900,Delivery,Koramangala 6th Block
Yes,No,3.1,11,Casual Dining,"North Indian, South Indian, Biryani",500,Delivery,Koramangala 6th Block
Yes,No,3.7,95,Quick Bites,North Indian,150,Delivery,Koramangala 6th Block
No,No,2.8,26,Quick Bites,"North Indian, Chinese, South Indian",400,Delivery,Koramangala 6th Block
Yes,No,3.0,7,Quick Bites,"Arabian, Mediterranean",400,Delivery,Koramangala 6th Block
Yes,No,3.3,16,Quick Bites,"Italian, Fast Food",400,Delivery,Koramangala 6th Block
Yes,No,3.6,11,Delivery,North Indian,400,Delivery,Koramangala 6th Block
Yes,No,3.6,11,Takeaway,"Beverages, Fast Food",200,Delivery,Koramangala 6th Block
No,No,2.9,21,Quick Bites,"Andhra, Chinese, North Indian",450,Delivery,Koramangala 6th Block
Yes,Yes,4.0,1515,Cafe,"Cafe, Continental",900,Delivery,Koramangala 6th Block
Yes,No,3.5,14,Quick Bites,"Desserts, Fast Food",250,Delivery,Koramangala 6th Block
Yes,No,3.8,278,Quick Bites,Biryani,200,Delivery,Koramangala 6th Block
Yes,No,3.8,215,Casual Dining,"Mexican, Continental, Italian, Chinese",700,Delivery,Koramangala 6th Block
Yes,No,3.8,172,Casual Dining,"North Indian, South Indian, Chinese",550,Delivery,Koramangala 6th Block
Yes,No,3.2,4,Quick Bites,"South Indian, Kerala",300,Delivery,Koramangala 6th Block
Yes,No,4.3,1902,Dessert Parlor,Desserts,400,Delivery,Koramangala 6th Block
Yes,No,3.7,24,Cafe,Cafe,550,Delivery,Koramangala 6th Block
Yes,No,3.8,178,Casual Dining,"North Indian, Fast Food, Street Food",800,Delivery,Koramangala 6th Block
Yes,No,4.3,169,Dessert Parlor,"Desserts, Beverages",450,Delivery,Koramangala 6th Block
Yes,No,3.7,19,Delivery,"Beverages, Juices, Healthy Food",200,Delivery,Koramangala 6th Block
Yes,Yes,4.1,1054,"Takeaway, Delivery","Continental, Italian, Steak, American",1400,Delivery,Koramangala 6th Block
Yes,No,3.6,243,Casual Dining,"Seafood, Biryani, South Indian, Chettinad, Chinese, Arabian, Andhra, Kerala",800,Delivery,Koramangala 6th Block
Yes,No,3.8,211,Delivery,"American, Sandwich",600,Delivery,Koramangala 6th Block
Yes,No,3.2,6,Beverage Shop,Beverages,200,Delivery,Koramangala 6th Block
Yes,No,3.5,5,Casual Dining,Chinese,800,Delivery,Koramangala 6th Block
No,No,4.1,44,Quick Bites,"Street Food, Fast Food",150,Delivery,Koramangala 6th Block
Yes,No,3.6,16,Cafe,"Cafe, Continental, Beverages",500,Delivery,Koramangala 6th Block
No,No,4.1,724,"Dessert Parlor, Bakery","Desserts, Bakery",300,Delivery,Koramangala 6th Block
No,No,3.8,34,Bakery,"Bakery, Desserts, Sandwich",400,Delivery,Koramangala 6th Block
No,No,3.3,4,"Takeaway, Delivery",North Indian,250,Delivery,Koramangala 6th Block
No,No,3.4,9,Sweet Shop,Mithai,300,Delivery,Koramangala 6th Block
No,No,3.6,14,Delivery,"Healthy Food, North Indian",300,Delivery,Koramangala 6th Block
No,No,3.4,8,Delivery,"North Indian, South Indian",400,Delivery,Koramangala 6th Block
No,No,3.5,6,Bakery,"Bakery, European",300,Delivery,Koramangala 6th Block
No,No,3.4,11,Quick Bites,"Chinese, Fast Food, Momos",200,Delivery,Koramangala 6th Block
No,No,2.8,26,"Takeaway, Delivery","North Indian, Chinese, Continental",650,Delivery,Koramangala 6th Block
No,No,3.6,10,"Takeaway, Delivery","Desserts, Bakery",350,Delivery,Koramangala 6th Block
No,No,3.7,13,Dessert Parlor,Desserts,400,Delivery,Koramangala 6th Block
No,No,3.7,20,"Bakery, Dessert Parlor","Bakery, Desserts",600,Delivery,Koramangala 6th Block
No,No,3.5,11,"Cafe, Dessert Parlor","Cafe, American, Italian, Continental",400,Delivery,Koramangala 6th Block
No,No,3.7,27,Quick Bites,South Indian,250,Delivery,Koramangala 6th Block
No,No,3.6,19,Bakery,"Bakery, Desserts",300,Delivery,Koramangala 6th Block
No,No,3.3,5,Delivery,"Continental, Asian, North Indian",500,Delivery,Koramangala 6th Block
No,No,3.8,18,"Takeaway, Delivery",Desserts,850,Delivery,Koramangala 6th Block
Yes,No,3.7,47,Dessert Parlor,"Ice Cream, Beverages",200,Delivery,Koramangala 6th Block
Yes,No,3.8,72,Delivery,"Continental, Chinese",250,Delivery,Koramangala 6th Block
Yes,No,3.2,7,Quick Bites,Biryani,300,Delivery,Koramangala 6th Block
Yes,No,3.4,212,Casual Dining,"North Indian, Chinese, Mughlai",800,Delivery,Koramangala 6th Block
No,No,3.3,4,Quick Bites,North Indian,200,Delivery,Koramangala 6th Block
Yes,No,3.1,6,Bakery,"Bakery, Desserts",400,Delivery,Koramangala 6th Block
Yes,No,3.7,25,Quick Bites,"North Indian, South Indian, Fast Food",300,Delivery,Koramangala 6th Block
Yes,No,2.5,109,Casual Dining,"North Indian, Chinese, Arabian",800,Delivery,Koramangala 6th Block
Yes,No,3.2,4,Quick Bites,American,250,Delivery,Koramangala 6th Block
Yes,No,3.9,112,Delivery,"Healthy Food, Sandwich, Salad",150,Delivery,Koramangala 6th Block
Yes,No,3.2,11,Quick Bites,"Tibetan, Momos",250,Delivery,Koramangala 6th Block
Yes,No,3.5,17,Quick Bites,"North Indian, Chinese",300,Delivery,Koramangala 6th Block
Yes,No,3.6,132,"Takeaway, Delivery","Biryani, North Indian, Chinese",600,Delivery,Koramangala 6th Block
Yes,No,3.8,50,Quick Bites,"Fast Food, North Indian, Rolls",250,Delivery,Koramangala 6th Block
Yes,No,3.8,76,Quick Bites,"Kerala, North Indian, Chinese",300,Delivery,Koramangala 6th Block
No,No,3.1,4,Quick Bites,"Kebab, Biryani",300,Delivery,Koramangala 6th Block
Yes,No,3.7,46,Casual Dining,"North Indian, Chinese",600,Delivery,Koramangala 6th Block
Yes,No,3.2,47,Quick Bites,"Chinese, Burger",300,Delivery,Koramangala 6th Block
Yes,No,3.6,25,"Takeaway, Delivery",Pizza,500,Delivery,Koramangala 6th Block
No,No,4.1,324,Cafe,"Cafe, American, Italian, Beverages",700,Delivery,Koramangala 6th Block
Yes,No,3.2,9,Quick Bites,"North Indian, Chinese",400,Delivery,Koramangala 6th Block
Yes,No,3.1,40,Quick Bites,"North Indian, Chinese",250,Delivery,Koramangala 6th Block
Yes,No,4.2,185,Mess,"North Indian, Chinese, Biryani",300,Delivery,Koramangala 6th Block
No,Yes,4.5,3914,"Pub, Casual Dining","Finger Food, Continental, North Indian",1000,Delivery,Koramangala 6th Block
Yes,No,3.8,87,Sweet Shop,"Mithai, Desserts",100,Delivery,Koramangala 6th Block
No,Yes,4.7,4447,Bar,"Continental, Asian, North Indian",1000,Delivery,Koramangala 6th Block
No,Yes,4.0,2160,Lounge,"Continental, American, Chinese, BBQ, Salad",1000,Delivery,Koramangala 6th Block
No,Yes,4.2,1743,Pub,"Chinese, Continental, North Indian",1400,Delivery,Koramangala 6th Block
No,Yes,4.0,1778,"Lounge, Cafe","Continental, Pizza, North Indian, Goan, Burger, Cafe",1600,Delivery,Koramangala 6th Block
Yes,No,3.4,29,Casual Dining,North Indian,750,Delivery,Koramangala 6th Block
No,No,3.2,9,Beverage Shop,Beverages,200,Delivery,Koramangala 6th Block
No,No,3.4,7,Beverage Shop,Beverages,150,Delivery,Koramangala 6th Block
Yes,No,3.7,67,Quick Bites,"South Indian, Chinese, North Indian",300,Delivery,Koramangala 6th Block
No,No,2.9,25,Quick Bites,"South Indian, North Indian, Chinese",300,Delivery,Koramangala 6th Block
Yes,No,4.2,414,Cafe,"Cafe, Desserts, Beverages",700,Delivery,Koramangala 6th Block
No,No,3.9,34,Sweet Shop,"Mithai, Oriya, Bengali",150,Delivery,Koramangala 6th Block
Yes,No,4.1,76,Quick Bites,Seafood,450,Delivery,Koramangala 6th Block
No,No,4.7,14717,"Cafe, Casual Dining","Cafe, American, Burger, Steak",900,Delivery,Koramangala 6th Block
No,Yes,3.9,1389,Lounge,"Continental, North Indian",1400,Delivery,Koramangala 6th Block
No,No,3.0,15,Bar,North Indian,1000,Delivery,Koramangala 6th Block
Yes,No,3.4,25,Quick Bites,North Indian,200,Delivery,Koramangala 6th Block
Yes,No,3.1,6,Quick Bites,"South Indian, Biryani",250,Delivery,Koramangala 6th Block
No,No,4.5,3847,Cafe,"Cafe, Italian, Fast Food",800,Delivery,Koramangala 6th Block
Yes,No,3.5,14,Cafe,Cafe,500,Delivery,Koramangala 6th Block
Yes,No,3.4,19,Quick Bites,Kerala,200,Delivery,Koramangala 6th Block
Yes,No,3.0,46,Quick Bites,"Fast Food, Rolls, Juices",200,Delivery,Koramangala 6th Block
Yes,Yes,4.0,126,Casual Dining,"North Indian, Mughlai, Chinese, South Indian",900,Delivery,Koramangala 6th Block
Yes,Yes,4.3,1808,"Casual Dining, Cafe","Continental, Cafe, Italian, Fast Food, Steak",900,Delivery,Koramangala 6th Block
Yes,No,3.0,20,"Takeaway, Delivery","North Indian, Biryani, Chinese",500,Delivery,Koramangala 6th Block
No,No,4.1,2734,Cafe,"Cafe, Continental, European, Juices",1300,Delivery,Koramangala 6th Block
No,No,4.4,1225,Cafe,"Cafe, Continental, Desserts",800,Delivery,Koramangala 6th Block
Yes,No,3.5,16,Delivery,"North Indian, Chinese, Biryani",400,Delivery,Koramangala 6th Block
No,Yes,4.5,686,Casual Dining,"Chinese, Sushi, Asian, Thai",1400,Delivery,Koramangala 6th Block
No,No,4.3,2306,Casual Dining,"Andhra, North Indian, Biryani",800,Delivery,Koramangala 6th Block
No,No,3.8,1161,Casual Dining,"Andhra, Biryani, North Indian, Chinese",650,Delivery,Koramangala 6th Block
No,Yes,4.3,2248,Casual Dining,"Chinese, Thai, Momos",1100,Delivery,Koramangala 6th Block
No,No,4.1,1227,Quick Bites,"Mexican, Fast Food",400,Delivery,Koramangala 6th Block
No,No,3.9,1160,Casual Dining,"Chettinad, South Indian",650,Delivery,Koramangala 6th Block
No,No,4.1,440,Casual Dining,"North Indian, Chinese, Biryani",500,Delivery,Koramangala 6th Block
Yes,Yes,4.4,467,Cafe,"Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800,Delivery,Koramangala 6th Block
No,Yes,4.5,550,Cafe,"Cafe, Continental, Mediterranean, Beverages",900,Delivery,Koramangala 6th Block
No,Yes,4.3,166,Casual Dining,"Chinese, Asian, Japanese",800,Delivery,Koramangala 6th Block
No,No,4.3,295,Cafe,"Cafe, Italian, Pizza",850,Delivery,Koramangala 6th Block
No,Yes,4.1,819,"Casual Dining, Bar","Andhra, Biryani, North Indian, Chinese",800,Delivery,Koramangala 6th Block
No,No,4.3,995,Quick Bites,"Chinese, Tibetan, Momos",350,Delivery,Koramangala 6th Block
No,Yes,4.4,328,Casual Dining,Korean,1200,Delivery,Koramangala 6th Block
No,No,4.3,450,Dessert Parlor,"Ice Cream, Desserts, Beverages",400,Delivery,Koramangala 6th Block
No,No,4.2,676,Casual Dining,"South Indian, North Indian, Chinese",650,Delivery,Koramangala 6th Block
No,No,4.4,44,Casual Dining,"Chinese, Continental, North Indian, Italian, Seafood",800,Delivery,Koramangala 6th Block
No,No,4.3,317,Mess,"Kerala, South Indian, Biryani",300,Delivery,Koramangala 6th Block
No,No,3.9,70,Bar,"North Indian, Chinese",1500,Delivery,Koramangala 6th Block
No,No,3.8,70,Quick Bites,"Kerala, South Indian, Biryani",300,Delivery,Koramangala 6th Block
No,No,3.6,39,Quick Bites,"North Indian, Chinese",400,Delivery,Koramangala 6th Block
No,Yes,4.1,453,Casual Dining,North Indian,650,Delivery,Koramangala 6th Block
No,No,4.5,941,Dessert Parlor,"Ice Cream, Beverages",200,Delivery,Koramangala 6th Block
No,No,3.5,12,Delivery,"North Indian, South Indian",200,Delivery,Koramangala 6th Block
No,No,4.3,236,Beverage Shop,"Beverages, Juices",350,Delivery,Koramangala 6th Block
Yes,No,3.3,4,Quick Bites,"South Indian, Kerala, Biryani",400,Delivery,Koramangala 6th Block
Yes,No,3.9,121,Quick Bites,"North Indian, Chinese, Biryani",400,Delivery,Koramangala 6th Block
No,No,3.5,16,Quick Bites,"North Indian, Chinese",200,Delivery,Koramangala 6th Block
No,No,4.1,183,Mess,North Indian,150,Delivery,Koramangala 6th Block
No,No,3.1,117,Quick Bites,Biryani,200,Delivery,Koramangala 6th Block
No,No,3.6,20,Quick Bites,North Indian,300,Delivery,Koramangala 6th Block
No,No,3.7,107,Casual Dining,"North Indian, Chinese, Biryani, Beverages",500,Delivery,Koramangala 6th Block
No,No,3.4,16,Quick Bites,"Fast Food, Rolls, Momos",200,Delivery,Koramangala 6th Block
No,No,3.5,17,Quick Bites,"Biryani, Chinese",250,Delivery,Koramangala 6th Block
No,No,3.9,164,Beverage Shop,"Beverages, Fast Food",400,Delivery,Koramangala 6th Block
Yes,No,3.5,6,Delivery,"North Indian, Chinese, Biryani",400,Delivery,Koramangala 6th Block
Yes,No,3.8,4,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,Delivery,Koramangala 6th Block
No,No,4.1,445,Dessert Parlor,"Bakery, Continental, Sandwich, Beverages, Desserts",400,Delivery,Koramangala 6th Block
No,No,3.7,19,"Takeaway, Delivery",BBQ,300,Delivery,Koramangala 6th Block
No,No,3.5,11,Quick Bites,"Biryani, Fast Food",300,Delivery,Koramangala 6th Block
No,No,3.8,291,"Dessert Parlor, Cafe","Desserts, Cafe, Fast Food",500,Delivery,Koramangala 6th Block
No,No,3.8,106,Casual Dining,"Andhra, Chinese, North Indian",700,Delivery,Koramangala 6th Block
No,No,3.8,63,"Cafe, Bakery","Cafe, Desserts, Bakery",600,Delivery,Koramangala 6th Block
No,No,3.7,34,Mess,"North Indian, Bengali",300,Delivery,Koramangala 6th Block
No,No,2.5,547,Casual Dining,North Indian,450,Delivery,Koramangala 6th Block
No,No,3.8,87,Quick Bites,Fast Food,250,Delivery,Koramangala 6th Block
No,No,3.8,62,"Bakery, Dessert Parlor",Desserts,150,Delivery,Koramangala 6th Block
No,No,2.8,27,Quick Bites,"South Indian, North Indian, Chinese, Street Food, Juices",250,Delivery,Koramangala 6th Block
No,No,3.5,17,Casual Dining,"North Indian, Chinese",800,Delivery,Koramangala 6th Block
No,No,2.6,56,Delivery,"Biryani, North Indian, Italian, Chinese, Sandwich, Desserts",500,Delivery,Koramangala 6th Block
No,No,3.4,8,Quick Bites,"Biryani, Chinese, Fast Food",300,Delivery,Koramangala 6th Block
No,No,3.3,6,Quick Bites,"Biryani, Fast Food",300,Delivery,Koramangala 6th Block
No,No,3.6,15,Delivery,Street Food,300,Delivery,Koramangala 6th Block
No,No,2.8,53,"Bakery, Quick Bites","Bakery, Fast Food, Italian",600,Delivery,Koramangala 6th Block
No,No,3.8,89,Quick Bites,"North Indian, Gujarati",300,Delivery,Koramangala 6th Block
No,No,4.2,171,Dessert Parlor,Ice Cream,200,Delivery,Koramangala 6th Block
No,No,3.8,67,Quick Bites,"North Indian, Chinese",400,Delivery,Koramangala 6th Block
Yes,No,3.4,13,Quick Bites,South Indian,200,Delivery,Koramangala 6th Block
Yes,No,3.3,4,Cafe,Cafe,400,Delivery,Koramangala 6th Block
No,No,3.3,4,Quick Bites,"South Indian, North Indian",350,Delivery,Koramangala 6th Block
Yes,No,3.7,26,Delivery,"North Indian, Fast Food, Chinese",500,Delivery,Koramangala 6th Block
Yes,No,3.7,27,Delivery,"North Indian, Chinese, Rolls",700,Delivery,Koramangala 6th Block
No,No,3.4,6,Quick Bites,"Fast Food, Maharashtrian, Rolls",250,Delivery,Koramangala 6th Block
No,No,3.1,7,Quick Bites,"South Indian, Chettinad, North Indian",300,Delivery,Koramangala 6th Block
No,No,3.3,6,Quick Bites,"North Indian, South Indian",200,Delivery,Koramangala 6th Block
No,No,3.1,27,Delivery,Continental,400,Delivery,Koramangala 6th Block
No,No,3.5,6,Quick Bites,Fast Food,400,Delivery,Koramangala 6th Block
No,No,4.0,115,Casual Dining,"Continental, Steak, Fast Food",1000,Delivery,Koramangala 6th Block
No,No,3.4,46,Casual Dining,North Indian,1100,Delivery,Koramangala 6th Block
No,No,3.6,44,Quick Bites,"North Indian, Chinese, Street Food, Biryani",400,Delivery,Koramangala 6th Block
No,No,3.7,16,Delivery,Italian,500,Delivery,Koramangala 6th Block
No,No,3.6,39,Casual Dining,"Seafood, Mangalorean",600,Delivery,Koramangala 6th Block
No,No,3.8,31,Delivery,"South Indian, North Indian, Biryani",400,Delivery,Koramangala 6th Block
No,No,3.1,53,Casual Dining,"North Indian, Chinese, Kerala",600,Delivery,Koramangala 6th Block
No,No,3.5,15,Quick Bites,"North Indian, Chinese",200,Delivery,Koramangala 6th Block
No,No,3.1,12,Quick Bites,Chinese,200,Delivery,Koramangala 6th Block
No,No,3.6,61,Cafe,Cafe,500,Delivery,Koramangala 6th Block
No,No,3.6,22,Cafe,"Cafe, Fast Food",500,Delivery,Koramangala 6th Block
No,No,2.9,16,Quick Bites,"Pizza, Italian",500,Delivery,Koramangala 6th Block
No,No,3.6,38,Quick Bites,"North Indian, Chinese, Fast Food",250,Delivery,Koramangala 6th Block
No,No,3.6,30,Quick Bites,"Italian, Pizza",350,Delivery,Koramangala 6th Block
No,No,3.3,6,Quick Bites,"North Indian, Chinese, Biryani",350,Delivery,Koramangala 6th Block
No,No,3.3,4,Quick Bites,"South Indian, Biryani",300,Delivery,Koramangala 6th Block
No,No,3.7,21,Quick Bites,"American, Fast Food",250,Delivery,Koramangala 6th Block
No,No,3.8,35,"Takeaway, Delivery",Fast Food,200,Delivery,Koramangala 6th Block
No,No,3.5,16,Quick Bites,North Indian,400,Delivery,Koramangala 6th Block
No,No,3.6,51,"Takeaway, Delivery","North Indian, Chinese, Italian",500,Delivery,Koramangala 6th Block
No,No,3.3,4,"Takeaway, Delivery","North Indian, Chinese",400,Delivery,Koramangala 6th Block
No,No,3.8,38,Dessert Parlor,"Ice Cream, Beverages, Desserts",400,Delivery,Koramangala 6th Block
No,No,3.6,12,Quick Bites,"Continental, North Indian, South Indian",650,Delivery,Koramangala 6th Block
No,No,3.6,34,Quick Bites,"Italian, Pizza",650,Delivery,Koramangala 6th Block
Yes,No,3.6,23,Casual Dining,"North Indian, Chinese, Continental",800,Delivery,Koramangala 6th Block
No,No,3.0,8,Quick Bites,"Juices, Fast Food",150,Delivery,Koramangala 6th Block
No,No,3.3,8,Quick Bites,Biryani,100,Delivery,Koramangala 6th Block
No,No,3.6,21,Quick Bites,South Indian,200,Delivery,Koramangala 6th Block
No,No,3.4,6,Quick Bites,Kerala,300,Delivery,Koramangala 6th Block
No,No,3.1,6,Delivery,"North Indian, Kashmiri",400,Delivery,Koramangala 6th Block
No,No,3.5,10,Delivery,"North Indian, Chinese, Continental",600,Delivery,Koramangala 6th Block
No,No,3.4,5,Quick Bites,"North Indian, South Indian, Chinese, Street Food",250,Delivery,Koramangala 6th Block
No,No,3.6,11,Delivery,"Salad, Healthy Food, Fast Food",550,Delivery,Koramangala 6th Block
No,No,3.4,7,Quick Bites,"South Indian, North Indian, Chinese",500,Delivery,Koramangala 6th Block
No,No,3.2,4,Delivery,"North Indian, Chinese, South Indian, Fast Food",500,Delivery,Koramangala 6th Block
No,No,3.4,8,Quick Bites,"North Indian, Chinese",350,Delivery,Koramangala 6th Block
No,No,3.6,26,Quick Bites,Biryani,150,Delivery,Koramangala 6th Block
No,No,3.1,6,Quick Bites,"North Indian, Chinese",400,Delivery,Koramangala 6th Block
No,No,3.6,20,Delivery,"North Indian, Chinese",200,Delivery,Koramangala 6th Block
No,No,3.7,17,Delivery,"Bengali, Street Food",300,Delivery,Koramangala 6th Block
No,No,3.3,7,Delivery,"Biryani, North Indian, Chinese",600,Delivery,Koramangala 6th Block
No,No,3.5,10,Quick Bites,Arabian,300,Delivery,Koramangala 6th Block
No,No,3.5,12,Quick Bites,"Awadhi, Bihari, Fast Food, Ice Cream, Mithai",200,Delivery,Koramangala 6th Block
No,No,3.2,7,Quick Bites,"Biryani, Kebab",200,Delivery,Koramangala 6th Block
No,No,3.2,4,Quick Bites,Fast Food,300,Delivery,Koramangala 6th Block
No,No,3.0,54,"Takeaway, Delivery","Chinese, North Indian",300,Delivery,Koramangala 6th Block
No,No,3.4,9,"Takeaway, Delivery","Seafood, North Indian, Chinese",800,Delivery,Koramangala 6th Block
No,No,3.5,15,"Dessert Parlor, Quick Bites","Desserts, Fast Food",400,Delivery,Koramangala 6th Block
No,No,3.3,4,Quick Bites,"Andhra, Chinese",350,Delivery,Koramangala 6th Block
No,No,3.5,8,Casual Dining,"North Indian, Arabian, Chinese",700,Delivery,Koramangala 6th Block
No,No,3.5,6,Quick Bites,"Chinese, North Indian",250,Delivery,Koramangala 6th Block
No,No,4.0,65,Quick Bites,"Chinese, North Indian",350,Delivery,Koramangala 6th Block
No,No,3.4,39,Casual Dining,"Kerala, North Indian, Chinese",700,Delivery,Koramangala 6th Block
No,No,3.3,7,Quick Bites,"Chinese, North Indian, Andhra, Seafood",250,Delivery,Koramangala 6th Block
No,No,3.2,4,Delivery,"North Indian, Rolls, Biryani",300,Delivery,Koramangala 6th Block
No,No,3.4,21,Quick Bites,"Kerala, South Indian, Chinese",350,Delivery,Koramangala 6th Block
No,No,3.3,6,"Quick Bites, Sweet Shop","Street Food, Mithai",200,Delivery,Koramangala 6th Block
No,No,3.6,9,Delivery,Mughlai,600,Delivery,Koramangala 6th Block
No,No,3.7,99,Delivery,"Italian, Pizza",700,Delivery,Koramangala 6th Block
No,No,3.8,30,Quick Bites,"Chinese, Mongolian",300,Delivery,Koramangala 6th Block
No,No,3.8,63,Cafe,Cafe,500,Delivery,Koramangala 6th Block
No,No,3.8,196,Delivery,"Fast Food, Chinese, North Indian, American",500,Delivery,Koramangala 6th Block
No,No,2.9,23,"Takeaway, Delivery",Healthy Food,300,Delivery,Koramangala 6th Block
Yes,No,3.4,257,Quick Bites,"Biryani, Kebab",250,Delivery,Koramangala 6th Block
No,No,3.5,21,Quick Bites,Biryani,200,Delivery,Koramangala 6th Block
Yes,No,3.6,24,"Takeaway, Delivery",Biryani,400,Delivery,Koramangala 6th Block
Yes,No,4.0,87,Beverage Shop,Beverages,200,Delivery,Koramangala 6th Block
No,No,4.0,138,Casual Dining,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",800,Delivery,Koramangala 6th Block
Yes,No,3.0,21,Delivery,"Biryani, Chinese, North Indian",600,Delivery,Koramangala 6th Block
No,No,3.2,6,Quick Bites,South Indian,400,Delivery,Koramangala 6th Block
Yes,No,3.2,13,Quick Bites,Biryani,300,Delivery,Koramangala 6th Block
Yes,No,4.0,152,"Beverage Shop, Quick Bites","Beverages, Fast Food, Desserts",350,Delivery,Koramangala 6th Block
Yes,No,3.1,28,Beverage Shop,"Beverages, Healthy Food",250,Delivery,Koramangala 6th Block
Yes,No,2.8,94,Quick Bites,"North Indian, Chinese",300,Delivery,Koramangala 6th Block
Yes,No,3.7,24,Quick Bites,"Biryani, Mughlai, Fast Food",500,Delivery,Koramangala 6th Block
Yes,No,3.9,44,Quick Bites,"Tibetan, Asian, Momos",500,Delivery,Koramangala 6th Block
Yes,No,3.9,144,Delivery,North Indian,500,Delivery,Koramangala 6th Block
Yes,No,3.2,6,Delivery,Chinese,300,Delivery,Koramangala 6th Block
Yes,No,3.6,12,"Takeaway, Delivery",North Indian,500,Delivery,Koramangala 6th Block
Yes,No,3.1,30,Quick Bites,"North Indian, Biryani",500,Delivery,Koramangala 6th Block
Yes,No,2.6,16,"Takeaway, Delivery",Fast Food,400,Delivery,Koramangala 6th Block
Yes,No,2.8,5,Quick Bites,"Juices, Beverages, Salad",200,Delivery,Koramangala 6th Block
Yes,No,3.2,9,"Takeaway, Delivery",Biryani,300,Delivery,Koramangala 6th Block
Yes,No,3.6,16,Delivery,North Indian,300,Delivery,Koramangala 6th Block
Yes,No,3.5,7,Quick Bites,Street Food,100,Delivery,Koramangala 6th Block
